Qty,Manufacturer,MPN,Schematic Reference,Digi-Key SKU
1,Microchip,ATTINY402-SSFR,U1,ATTINY402-SSFRCT-ND
1,Texas Instruments,TPS82140SILR,U2,296-48215-1-ND
2,Microchip,MCP1754ST-3302E/CB,"U3, U4",MCP1754ST-3302E/CBCT-ND
1,ON Semiconductor,BSS138,Q1,BSS138CT-ND
1,Infineon,IRLML9301TRPBF,Q2,IRLML9301TRPBFCT-ND
2,Dialight,598-8220-107F,"D1, D2",350-2048-1-ND
1,ON Semiconductor,SZMMSZ4697T1G,D3,SZMMSZ4697T1GOSCT-ND
1,Samsung,CL10B104KB8NNNC,C1,1276-1000-1-ND
2,Samsung,CL21A475KAQNNNE,"C2, C4",1276-1244-1-ND
2,Samsung,CL21B105KAFNNNE,"C3, C5",1276-1066-1-ND
1,Samsung,CL31A106KAHNNNE,C6,1276-1075-1-ND
1,Murata,GRM219R61C226ME15L,C7,490-9952-1-ND
1,Samsung,CL10B103KB8NCNC,C8,1276-1921-1-ND
2,BI Technologies,23BR500LFTR,"R1, R2",987-1805-1-ND
1,Panasonic,ERJ-3GEYJ472V,R5,P4.7KGCT-ND
3,Panasonic,ERJ-3GEYJ102V,"R6, R7, R14",P1.0KGCT-ND
5,Panasonic,ERJ-3GEYJ101V,"R4, R8, R9, R10, R13",P100GCT-ND
2,Panasonic,ERJ-3GEY0R00V,"R3, R16",P0.0GCT-ND
1,Panasonic,ERJ-3EKF5233V,R11,P523KHCT-ND
1,Panasonic,ERJ-3EKF1003V,R12,P100KHCT-ND
1,FCI,LD09P24A4GV00LF,P1,609-5184-ND
